Nummer;Name;Land;Plz;Ort;Strasse;Telefon;Bezirk;Freigabe Verband;Freigabe Bezirk;Haftmittel;Bild;;
-150511;Steinhauerdamm;D;22087;Hamburg;Steinhauerdamm 4;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150508;Durchdeich;D;21037;Hamburg;Sporthallenweg 7;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150507;Sander Tannen;D;21033;Hamburg;Ladenbeker Weg 15;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150506;Walter-Rothenburg-Weg;D;22391;Hamburg;Walter-Rothenburg-Weg;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150505;Fährbuernfleet;D;22391;Hamburg;Walter-Rothenburg-Weg 37;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150504;Binnenfeldredder;D;21031;Hamburg;Binnenfeldredder 5;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150503;Bornbrook;D;21031;Hamburg;Schulenburgring 4;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150502;Ladenbeker Furtweg 1;D;21033;Hamburg;Ladenbeker Furtweg 178;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150501;Ladenbeker Furtweg 2;D;21033;Hamburg;Ladenbeker Furtweg 178;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
-150472;Schenefeld;D;22869;Schenefeld;Achter de Weiden;;;Keine Freigabe für den Spielbetrieb auf Verbands-Ebene;Keine Freigabe für den Spielbetrieb auf Bezirks-Ebene;Absolutes Haftmittelverbot;https://github.com/harzball/excel/raw/main/halle_platzhalter.png;;
